year	origin	destination
2018	23005004802	1117030607
2018	23005001100	1117030216
2018	23005002502	1117030319
2018	23005016000	1117030217
2018	23005002102	1117030306
2018	23005002501	1117030605
2018	23005004502	1117030701
2018	23005003100	1117030217
2018	23005017002	1117030604
2018	23005002501	1117030607
2018	23005017102	1117030407
2018	23005004100	1117030604
2018	23005000300	1117030316
2018	23005000200	1117030330
2018	23005002600	1117030317
2018	23005011100	1117030215
2018	23005004802	1117030607
2018	23005004803	1117030304
2018	23005017304	1117030211
2018	23005004200	1117030211
2018	23005017304	1117030604
2018	23005004002	1117030216
2018	23005001700	1117030336
2018	23005004402	1117030330
2018	23005001500	1117030604
2018	23005003500	1117030604
2018	23005002501	1117030305
2018	23005017001	1117030609
2018	23005004100	1117030316
2018	23005000200	1117030330
2018	23005011202	1117030341
2018	23005003702	1117030604
2018	23005001300	1117030604
2018	23005001000	1117030217
2018	23005004402	1117030330
2018	23005000500	1117030344
2018	23005001900	1117030340
2018	23005001100	1117030604
2018	23005017301	1117030332
2018	23005000300	1117030604
2018	23005004002	1117030330
2018	23005001300	1117030213
2018	23005002102	1117030608
2018	23005004002	1117030331
2018	23005004803	1117030317
2018	23005011500	1117030330
2018	23005001900	1117030303
2018	23005003000	1117030607
2018	23005004802	1117030213
2018	23005001800	1117030337
2018	23005004100	1117030406
2018	23005011202	1117030314
2018	23005011202	1117030342
2018	23005000100	1117030314
2018	23005001100	1117030217
2018	23005017102	1117030337
2018	23005003701	1117030604
2018	23005002102	1117030306
2018	23005002102	1117030304
2018	23005000500	1117030303
2018	23005017002	1117030501
2018	23005012000	4013420800
2018	23005001700	4013617400
2018	23005017304	4013420707
2018	23005011300	4013116607
2018	23005011202	4013050604
2018	23005004002	4013420215
2018	23005002600	4013112509
2018	23005001300	4013061100
2018	23005017304	4013216848
2018	23005004002	4013814100
2018	23005017304	4013319909
2018	23005003300	4013616700
2018	23005000600	4013816200
2018	23005016000	4013216820
2018	23005000200	4013723307
2018	23005011201	4013216837
2018	23005013000	4013218300
2018	23005000600	4013217900
2018	23005001300	4013103302
2018	23005000200	4013113100
2018	23005001700	4013040520
2018	23005003100	4013615900
2018	23005017303	4013040521
2018	23005001000	4013318501
2018	23005001000	4013723308
2018	23005001500	4013104204
2018	23005001300	4013611300
2018	23005001900	4013422633
2018	23005001500	4013216838
2018	23005017303	4013108200
2018	23005002102	6001403300
2018	23005001500	6001441503
2018	23005004401	6001430900
2018	23005002002	6001422200
2018	23005002001	6001422900
2018	23005002102	6001451101
2018	23005001100	6001443104
2018	23005001800	6001437600
2018	23005001800	6001450300
2018	23005004803	6001406000
2018	23005017102	6001424001
2018	23005001900	6001423700
2018	23005000200	6001422300
2018	23005001000	6001428700
