year	origin	destination
2018	1073014104	23005003702
2018	1073013100	23005003701
2018	1073005600	23005004501
2018	1073013100	23005014000
2018	1073012906	23005002800
2018	1073005000	23005004600
2018	1073013901	23005002002
2018	1073001600	23005000300
2018	1073012305	23005011100
2018	1073012908	23005001200
2018	1073014406	23005017002
2018	1073003001	23005017304
2018	1073010603	23005001700
2018	1073010001	23005000600
2018	1073011904	23005003702
2018	1073002400	23005011100
2018	1073010001	23005017303
2018	1073010702	23005000200
2018	1073011104	23005002700
2018	2020002302	23005004200
2018	2020000702	23005004402
2018	2020001602	23005011202
2018	2020000203	23005004100
2018	2020000300	23005004702
2018	2020002303	23005004002
2018	2020002812	23005011202
2018	2020002711	23005002501
2018	2020002400	23005002300
2018	2020000201	23005011500
2018	2020000203	23005011201
2018	2020002821	23005017002
2018	2020000203	23005002700
2018	2020002303	23005000600
2018	2020001200	23005001700
2018	4013104205	23005001000
2018	4013617400	23005002501
2018	4013318700	23005001200
2018	4013071516	23005011201
2018	4013116730	23005015000
2018	4013116708	23005004402
2018	4013319000	23005011201
2018	4013319101	23005011100
2018	6001450601	23005017303
2018	6001440335	23005011201
2018	6001433300	23005004803
2018	6001437701	23005004502
2018	6001401500	23005011202
2018	6001400600	23005004200
2018	6001400500	23005001900
2018	6001407600	23005017001
2018	6001420500	23005004401
2018	6001423300	23005002900
2018	6001428500	23005000500
2018	6001450701	23005003000
2018	6001440332	23005001000
2018	6001407400	23005003300
2018	6001441925	23005004701
2018	6001423800	23005000100
2018	6001451704	23005011201
2018	6001401100	23005017002
2018	6001443321	23005004100
2018	6001405301	23005001700
2018	6001408100	23005017304
2018	6001450607	23005002101
2018	6001405302	23005013000
2018	6001450200	23005013000
2018	6001436100	23005001000
2018	6001430800	23005017102
2018	6001400300	23005011202
2018	6001423200	23005002900
2018	6001422700	23005002102
2018	6001440336	23005002800
2018	6001433103	23005017303
2018	6001430900	23005000600
2018	6001433104	23005002101
2018	6001440301	23005014000
2018	6001427800	23005011202
2018	6001427200	23005002102
2018	6001423100	23005004402
2018	6001450101	23005017002
2018	6001440301	23005011202
2018	6001441925	23005002700
2018	6001423300	23005001000
2018	6001440331	23005000200
2018	6001450604	23005000500
