year	origin	destination
2018	4013420704	23023970700
2018	4013420800	23023970700
2018	4013723307	23023970600
2018	4013040515	23023970200
2018	6073000300	23023970400
2018	6073011300	23023970301
2018	6073017304	23023970600
2018	6073018517	23023970100
2018	6073003103	23023970700
2018	6073020306	23023970100
2018	6073002903	23023970302
2018	6073020109	23023970700
2018	6073002803	23023970500
2018	6073017604	23023970700
2018	6073006100	23023970301
2018	6073020806	23023970302
2018	6073008344	23023970302
2018	6073005300	23023970100
2018	6073011902	23023970200
2018	6073017200	23023970301
2018	6073018802	23023970700
2018	6073018700	23023970600
2018	6073009102	23023970100
2018	6073008348	23023970700
2018	6073020027	23023970302
2018	6073008327	23023970302
2018	6073004501	23023970600
2018	6073012304	23023970301
2018	6073002402	23023970100
2018	6073017604	23023970700
2018	6073013312	23023970700
2018	6073002711	23023970302
2018	6073009304	23023970700
2018	6073008346	23023970700
2018	6073017039	23023970700
2018	6073017043	23023970100
2018	6073019405	23023970302
2018	6073015703	23023970700
2018	6073001600	23023970500
2018	6073017304	23023970700
2018	6073018700	23023970700
2018	6073017052	23023970302
2018	6073010112	23023970301
2018	6073002202	23023970302
2018	6073017046	23023970500
2018	6073015000	23023970200
2018	6073005300	23023970700
2018	6073020018	23023970600
2018	6073020213	23023970200
2018	6073020708	23023970500
2018	6073009804	23023970100
2018	6073019302	23023970100
2018	6073019206	23023970301
2018	6073021600	23023970301
2018	6073022000	23023970500
2018	6073004400	23023970400
2018	6073016701	23023970200
2018	6073000300	23023970400
2018	6073017042	23023970100
2018	6073008357	23023970700
2018	6073020026	23023970200
2018	33011010200	23023970400
2018	33011010800	23023970200
2018	33011010200	23023970400
2018	33011000300	23023970400
2018	33011000204	23023970100
2018	33011014300	23023970302
2018	33011010100	23023970700
2018	33011010900	23023970302
2018	33011001300	23023970302
2018	33011002100	23023970700
2018	33011000901	23023970100
2018	33011200400	23023970500
2018	36059415700	23023970700
2018	36059517101	23023970500
2018	36059521802	23023970400
2018	36059412400	23023970700
2018	36059518300	23023970200
2018	36059517101	23023970700
2018	36059301800	23023970302
2018	37051003204	23023970700
2018	37051003405	23023970700
2018	37051003310	23023970302
2018	37051003302	23023970301
2018	37051003307	23023970500
2018	37051003408	23023970700
2018	37051002300	23023970700
2018	37051003403	23023970302
2018	37051003312	23023970700
2018	37191000901	23023970700
2018	37191001800	23023970100
2018	37191001301	23023970302
2018	37191001000	23023970700
2018	2122000700	23023970500
2018	6059110603	23023970600
2018	6059042108	23023970100
2018	6059099251	23023970302
2018	6059011403	23023970500
2018	6059099603	23023970600
2018	6059032038	23023970302
2018	6059099248	23023970200
2018	6059099311	23023970700
2018	6059052420	23023970500
2018	6059099411	23023970600
2018	6059052417	23023970500
2018	6059042313	23023970100
2018	12101033101	23023970200
2018	12101031708	23023970302
2018	12101032804	23023970700
2018	12101031902	23023970302
2018	13089021907	23023970100
2018	13089020600	23023970301
2018	13089021605	23023970700
2018	13089023113	23023970302
2018	13089021416	23023970301
2018	13089023418	23023970301
2018	13089021218	23023970200
2018	13089022008	23023970700
2018	13089023208	23023970700
2018	13089022600	23023970400
2018	13089021703	23023970400
2018	13089021101	23023970302
2018	23019028500	23023970700
2018	23019031200	23023970500
2018	23019006300	23023970500
2018	23019013000	23023970301
2018	23019000200	23023970600
2018	23019000900	23023970301
2018	23019020500	23023970600
