year	origin	destination
2018	23031030203	4003001601
2018	23031005300	4003001800
2018	23031025100	4003000700
2018	23031030100	4003001702
2018	23031036002	4003001602
2018	23031030202	4003000400
2018	23031006101	4003001502
2018	23031005300	4013619700
2018	23031025202	4013105003
2018	23031038002	4013812700
2018	23031005200	4013216820
2018	23031034002	4013422606
2018	23031029000	4013092712
2018	23031024000	4013319104
2018	23031025300	4013522901
2018	23031038001	4013813400
2018	23031025300	4013061100
2018	23031038001	4013613900
2018	23031031000	4013610200
2018	23031006101	4013106802
2018	23031038001	4013103210
2018	23031005300	4013216846
2018	23031028002	4013115600
2018	23031028002	4013216836
2018	23031005300	4013816200
2018	23031030202	4013104802
2018	23031036001	4013112511
2018	23031005200	4013082022
2018	23031035000	4013116707
2018	23031024000	4013319104
2018	23031036002	4013422104
2018	23031030203	4013071903
2018	23031025201	4013216846
2018	23031038001	4013614400
2018	23031005300	4013092401
2018	23031035000	4013061037
2018	23031006101	4013216821
2018	23031030202	4013812600
2018	23031022000	4013816600
2018	23031025202	6001404400
2018	23031036001	6001422800
2018	23031037000	6037191000
2018	23031028002	6037503801
2018	23031035000	6037265520
2018	23031036002	6037275102
2018	23031024000	6037273100
2018	23031028002	6037463602
2018	23031028002	6037103200
2018	23031035000	6037195100
2018	23031005100	6037192410
2018	23031030201	6037232400
2018	23031020000	6037190100
2018	23031033000	6037651222
2018	23031026000	6037920036
2018	23031025202	6037189300
2018	23031022000	6037310900
2018	23031022500	6037901004
2018	23031023500	6037197410
2018	23031020000	6037901011
2018	23031038001	6037207302
2018	23031038002	6037269602
2018	23031005400	6037216300
2018	23031006101	6037267200
2018	23031006102	6037143100
2018	23031023000	6037238320
2018	23031036002	6037276100
2018	23031038001	6037701201
2018	23031038001	6037297500
2018	23031035000	6037224700
2018	23031037000	6037463601
2018	23031030202	6037700801
2018	23031025202	6037570301
2018	23031030100	6037480201
2018	23031036002	6037143604
2018	23031006101	6037207101
2018	23031034002	6037122120
2018	23031025202	6037401902
2018	23031025201	6037301100
2018	23031024000	6037267100
2018	23031037000	6037620701
2018	23031025202	6037189904
2018	23031025400	6037463700
2018	23031025201	6037276601
2018	23031037000	6037236202
2018	23031030202	6073020021
2018	23031038002	6073018700
2018	23031034002	6073008511
2018	23031038001	6073018700
2018	23031036001	6073020103
2018	23031005200	6073005600
2018	23031024500	6073013206
2018	23031005200	6073018700
2018	23031029000	6073002905
2018	23031028002	6073018611
2018	23031034001	6073021900
2018	23031005200	6073015801
2018	23031005300	6073006300
2018	23031035000	6073020103
2018	23031030300	6073018510
2018	23031037000	6073005800
2018	23031026000	6073007702
2018	23031038001	6073018906
2018	23031006102	6073006300
2018	23031026000	6073009107
2018	23031025202	6073009400
2018	23031036001	6073008329
2018	23031036002	6073010501
2018	23031020000	6073018700
2018	23031026000	6073009510
2018	23031025202	6073018700
2018	23031024000	6073010104
2018	23031038002	6073000900
2018	23031024500	6073018700
2018	23031005300	6073018611
2018	23031021000	6073015801
2018	23031025202	6073007702
2018	23031006102	6073019803
2018	23031027000	6073018700
2018	23031025400	6073008354
2018	23031034001	6073005900
2018	23031022000	6073002100
2018	23031033000	6073018904
2018	23031038002	6073008355
2018	23031005300	6073010300
2018	23031022500	6073006300
2018	23031028002	6073000900
2018	23031005400	6073022100
2018	23031030202	6073009510
2018	23031022000	6073018513
2018	23031006101	6073017811
2018	23031005200	6073007800
2018	23031036001	6073018700
2018	23031038001	6073019808
2018	23031006102	6073003213
2018	23031025202	6073007908
2018	23031026000	6073013314
2018	23031025202	6073021400
2018	23031030100	6073008511
2018	23031025201	6073005200
2018	23031028002	6073008354
2018	23031037000	6073016702
2018	23031025202	6073015200
2018	23031028001	6073019103
2018	23031036002	6073014806
2018	23031005100	6073008362
2018	23031038002	6073009506
2018	23031025300	6073021303
2018	23031005300	6073005300
2018	23031006102	6073002902
2018	23031023000	6073010011
2018	23031023000	12057013003
2018	23031006101	12057005000
2018	23031006101	12057007300
2018	23031006102	12057012211
2018	23031030300	12099007203
2018	23031024000	12099005411
2018	23031023000	12099005946
2018	23031027000	12099005936
2018	23031024000	12099006300
2018	23031024000	12099007758
2018	23031030201	12099005407
2018	23031020000	12099005808
2018	23031005300	12099006908
2018	23031038001	12099006912
2018	23031025300	12099006605
2018	23031025300	12099007812
2018	23031025201	12099008203
2018	23031030203	12099001916
2018	23031025201	12099003800
2018	23031005300	12099007822
2018	23031022000	12099000206
2018	23031025202	12099001915
2018	23031038001	12099000214
2018	23031005200	12099001910
2018	23031037000	12099007765
2018	23031030202	12099007732
2018	23031030202	12099007744
2018	23031030300	12099004904
2018	23031023500	12099005940
2018	23031025201	12099005916
2018	23031036001	12099007007
2018	23031030100	12099001908
2018	23031025201	12099005922
2018	23031035000	12099004201
2018	23031030203	12099001912
2018	23031005300	12099006906
2018	23031022500	12099005955
2018	23031024000	12099001916
2018	23031030201	12099006603
2018	23031024500	12099006300
2018	23031030201	12099007716
2018	23031035000	13135050525
2018	23031037000	13135050608
2018	23031005300	13135050535
2018	23031025400	13135050724
2018	23031036001	13135050724
2018	23031005100	13135050534
2018	23031037000	13135050419
2018	23031035000	13135050610
2018	23031025201	13135050724
2018	23031025201	13135050724
2018	23031029000	13135050106
2018	23031025202	13135050606
2018	23031024500	13135050606
2018	23031035000	13135050215
2018	23031020000	13135050108
2018	23031024500	13135050106
2018	23031030203	13135050731
2018	23031025400	13135050607
2018	23031025202	13135050608
2018	23031029000	13135050108
2018	23031006102	13135050607
2018	23031025201	13135050534
2018	23031024500	13135050521
2018	23031032000	13135050431
2018	23031006101	13135050217
2018	23031005100	13135050548
2018	23031025201	13135050724
2018	23031034002	13135050724
2018	23031030203	13135050726
2018	23031029000	13135050530
2018	23031026000	13135050531
2018	23031025100	13135050523
2018	23031025202	13135050217
2018	23031006101	15003002003
2018	23031038001	15003007302
2018	23031030202	15003009904
2018	23031024000	15003010802
2018	23031030202	15003007000
2018	23031005300	15003007000
2018	23031036001	15003010904
2018	23031027000	15003009507
2018	23031030201	15003006804
2018	23031005300	15003009300
2018	23031006102	15003008406
2018	23031020000	15003009502
2018	23031005100	15003009701
2018	23031025202	15003002005
2018	23031037000	15003008406
2018	23031005200	15003010802
2018	23031025201	15003002800
2018	23031025201	15003007400
2018	23031005300	15003006702
2018	23031030201	15003000106
2018	23031006102	15003010801
2018	23031006101	15003009507
2018	23031024500	15003008924
2018	23031005300	15003006808
2018	23031026000	15003007302
2018	23031006102	15003006804
2018	23031028002	15003005200
2018	23031025202	15003008301
2018	23031005200	15003008926
2018	23031005300	15003007302
2018	23031027000	15003007100
2018	23031038001	15003010100
2018	23031026000	15003006900
2018	23031024500	15003008408
2018	23031006102	15003007505
2018	23031033000	15003007302
2018	23031025400	15003010100
2018	23031038001	15003007400
2018	23031038001	15003010000
2018	23031035000	15003007100
2018	23031025400	15003006804
2018	23031032000	15003008614
2018	23031035000	15003007000
2018	23031005300	15003007807
2018	23031005300	15003002500
2018	23031023000	15003009503
2018	23031005100	15003008408
2018	23031038001	15003001600
2018	23031020000	15003007000
2018	23031005100	15003008301
2018	23031005300	15003007302
2018	23031032000	15003009501
2018	23031030100	15003008502
2018	23031036001	15003011103
2018	23031029000	15003011106
2018	23031025400	15003007400
2018	23031025202	15003009000
2018	23031038001	15003006804
2018	23031025202	15003010903
2018	23031028002	15003006805
2018	23031024000	15003002800
2018	23031036001	15003007400
2018	23031032000	15003007000
2018	23031025201	15003009507
2018	23031026000	15003009507
2018	23031005200	15003008301
2018	23031005400	15003007000
2018	23031024500	15003006804
2018	23031025202	15003010201
2018	23031025100	15003009501
2018	23031030300	15003008614
2018	23031035000	15003004100
2018	23031034001	15003010100
2018	23031029000	15003004200
2018	23031005300	15003009501
2018	23031028002	15003009400
2018	23031006101	15003009501
2018	23031025202	15003010202
2018	23031026000	15003010802
2018	23031029000	15003006900
2018	23031034002	15003010901
2018	23031025100	15003007302
2018	23031025400	15003010201
2018	23031032000	15003007506
2018	23031020000	15003009507
2018	23031030202	15003006600
2018	23031005300	15003008408
2018	23031038001	15003009501
2018	23031028002	16001000100
2018	23031022500	16001010334
2018	23031025400	16001001700
2018	23031036001	16001010402
2018	23031025201	16001010201
2018	23031024000	16001000500
2018	23031030203	16001010321
2018	23031006102	16001010331
2018	23031030100	16001010201
2018	23031030203	16001000900
2018	23031030203	16001000701
2018	23031005400	16001000600
2018	23031024000	16001010224
2018	23031038001	16001000400
2018	23031035000	16001000702
2018	23031025201	16001001000
2018	23031006101	16001010221
2018	23031005300	16001010225
2018	23031006101	16001001600
2018	23031025201	16001010221
2018	23031022500	16001000303
2018	23031025201	16001002221
2018	23031036001	16001000804
2018	23031022500	16001002000
2018	23031038001	16001002412
2018	23031005300	16001000900
2018	23031027000	16001010335
2018	23031030202	16001010504
2018	23031028002	16001002413
2018	23031025202	16001002413
2018	23031005300	16001000804
2018	23031036001	16001010313
2018	23031033000	16001000701
2018	23031006102	16001010221
2018	23031005300	16001010333
2018	23031005100	16001010335
2018	23031025201	16001010332
2018	23031022500	16001002100
2018	23031036001	16001000900
2018	23031035000	16001010313
2018	23031030201	16001010225
2018	23031028002	16001000100
2018	23031025400	16001010100
2018	23031030202	16001000600
2018	23031026000	16001010335
2018	23031025400	16001010333
2018	23031006101	16001010331
2018	23031005300	16001010335
2018	23031035000	16001010402
2018	23031028001	16001010100
2018	23031028002	16001010331
2018	23031030203	16001000804
2018	23031028002	16001010335
2018	23031025202	16001001202
2018	23031025202	16001010335
2018	23031022500	16001010401
2018	23031036001	17031804810
2018	23031030300	17031805106
2018	23031025201	17031812600
2018	23031023500	17031070600
2018	23031030300	17031804806
2018	23031034002	17031280100
2018	23031030201	17031836600
2018	23031030202	17031805001
2018	23031025201	17031833100
2018	23031033000	17031320400
2018	23031027000	17031281900
2018	23031033000	17031010600
2018	23031020000	17031071100
2018	23031034002	17031031100
2018	23031038001	17031808702
2018	23031025201	17031806103
2018	23031032000	17031815900
2018	23031022000	17031800200
2018	23031025201	17031740200
2018	23031025202	17031813400
2018	23031030300	17031823400
2018	23031028002	17031823605
2018	23031023500	17031832500
2018	23031005300	17031804701
2018	23031030100	17031843600
2018	23031023000	17031827200
2018	23031030201	17031081500
2018	23031036002	17031330100
2018	23031026000	17031070300
2018	23031036001	17031060400
2018	23031030300	17031803702
2018	23031030100	17031242600
2018	23031028002	17031081403
2018	23031035000	17031081500
2018	23031030201	17031431200
2018	23031028002	17031081600
2018	23031036001	21111011403
2018	23031005300	21111010004
2018	23031037000	21111006200
2018	23031005400	21111007700
2018	23031037000	21111004500
2018	23031036002	21111007603
2018	23031038002	21111011708
2018	23031029000	21111003500
2018	23031038001	21111007400
2018	23031005300	21111011712
2018	23031027000	21111010318
2018	23031030201	21111011712
2018	23031038001	21111010702
2018	23031036002	21111007603
2018	23031025202	21111011106
2018	23031037000	21111007601
2018	23031005100	21111011003
2018	23031029000	21111012407
2018	23031030100	21111012703
2018	23031025300	21111010102
2018	23031005200	21111008700
2018	23031036001	21111000200
2018	23031034002	21111011800
2018	23031005300	21111011707
2018	23031020000	21111011509
2018	23031037000	22115950701
2018	23031005400	22115950701
2018	23031032000	22115950704
2018	23031035000	22115950701
2018	23031027000	22115950704
2018	23031038001	22115950704
2018	23031022500	22115950703
2018	23031030202	22115950701
2018	23031023000	22115950300
2018	23031037000	22115950704
2018	23031005400	22115950600
2018	23031034002	22115950701
2018	23031030300	22115950200
2018	23031030202	22115950900
2018	23031035000	22115950400
2018	23031005300	22115950704
2018	23031030202	22115950701
2018	23031028002	22115950704
2018	23031025202	22115950703
2018	23031027000	22115950702
2018	23031025100	22115950704
2018	23031028002	22115950500
2018	23031006101	22115950701
2018	23031030202	22115950701
2018	23031025202	22115950701
2018	23031005200	22115950701
2018	23031025400	22115950704
2018	23031025202	22115950703
2018	23031022500	22115950703
2018	23031005100	22115950704
2018	23031032000	22115950702
2018	23031037000	22115950300
2018	23031027000	26163563500
2018	23031034002	26163575400
2018	23031030100	26163557000
2018	23031025202	26163554200
2018	23031035000	26163563700
2018	23031036001	26163590400
2018	23031030201	26163554100
2018	23031025202	26163591600
2018	23031024500	33011010100
2018	23031005300	33011000902
2018	23031030201	33011011000
2018	23031035000	33011018000
2018	23031028002	33011013100
2018	23031025202	33011011200
2018	23031025300	33011021500
2018	23031037000	33011011101
2018	23031005300	33011001900
2018	23031028001	33011200200
2018	23031020000	33011001900
2018	23031005200	33011002300
2018	23031028002	33011011200
2018	23031025202	33011002702
2018	23031005200	33011011200
2018	23031036002	33011000902
2018	23031037000	33011000203
2018	23031023500	33011011102
2018	23031025300	33011019502
2018	23031030201	33011000902
2018	23031030100	33011017100
2018	23031005300	33011010700
2018	23031005300	33011011200
2018	23031036001	33011023000
2018	23031025201	33011000901
2018	23031030203	33011014202
2018	23031025202	33011002600
2018	23031025202	33011001900
2018	23031036001	33011011200
2018	23031025202	33011010500
